FIT101,LIT101, MV101,P101,P102, AIT201,AIT202,AIT203,FIT201,Attack
2.652852,525.3982,2,2,1,262.1443,8.39163,328.2235,2.439881,0
2.632034,524.8879,2,2,1,262.1443,8.39163,328.2235,2.439881,0
2.628831,524.7309,2,2,1,262.0802,8.39163,328.2235,2.439881,0
2.628511,524.8879,2,2,1,262.0802,8.39163,328.3004,2.439881,0
2.61602,525.1234,2,2,1,262.0802,8.39163,328.4286,2.439881,0
2.597124,525.2019,2,2,1,262.0802,8.39163,328.5055,2.439881,0
2.575986,525.2804,2,2,1,262.0802,8.39163,328.5055,2.440393,0
2.559331,525.3196,2,2,1,262.0802,8.39163,328.1723,2.440393,0
2.542677,525.4374,2,2,1,262.0802,8.39163,328.121,2.440393,0
2.52314,525.4767,2,2,1,262.0802,8.39163,328.121,2.440393,0
2.509048,525.83,2,2,1,262.0802,8.39163,328.121,2.440393,0
2.495596,525.7907,2,2,1,262.0802,8.39163,328.121,2.440393,0
2.483426,525.83,2,2,1,262.0802,8.39163,328.121,2.440393,0
2.46549,525.8692,2,2,1,262.0802,8.39163,328.121,2.440393,0
2.450758,525.9869,2,2,1,262.0802,8.39163,328.1466,2.440393,0
2.429619,525.9084,2,2,1,262.0802,8.39163,328.2748,2.441547,0
2.421932,526.1047,2,2,1,262.0802,8.39163,328.2748,2.441803,0
2.420651,526.2617,2,2,1,262.0802,8.39163,328.2748,2.440521,0
2.420651,526.4188,2,2,1,262.0802,8.39163,328.2748,2.440137,0
2.463248,526.301,2,2,1,262.0802,8.39163,328.2748,2.440137,0
2.510009,526.1047,2,2,1,262.0802,8.39163,328.2748,2.440137,0
2.555488,525.8692,2,2,1,262.0802,8.39163,328.2748,2.441419,0
2.593921,525.7907,2,2,1,262.0802,8.39163,328.2748,2.441419,0
2.625628,525.2804,2,2,1,262.0802,8.39163,328.2748,2.441419,0
2.642923,525.0842,2,2,1,262.0802,8.39163,328.2748,2.441419,0
2.657656,525.0056,2,2,1,262.0802,8.39163,328.2748,2.441547,0
2.657656,524.9271,2,2,1,262.0802,8.39163,328.2748,2.444879,0
2.634917,525.4767,2,2,1,262.0802,8.39163,328.2748,2.445904,0
2.625628,525.4767,2,2,1,262.0802,8.39163,328.2748,2.445904,0
2.624027,525.7122,2,2,1,262.0802,8.39163,328.2748,2.444366,0
2.612177,525.8692,2,2,1,262.0802,8.39163,328.2748,2.443725,0
2.59232,526.1832,2,2,1,262.0802,8.396116,328.2748,2.441034,0
2.575665,526.3795,2,2,1,262.0802,8.396116,328.2748,2.440778,0
2.554527,526.615,2,2,1,262.0802,8.396116,328.2748,2.440778,0
2.535951,526.5757,2,2,1,262.0802,8.396116,328.2748,2.441547,0
2.520257,526.6542,2,2,1,262.0802,8.396116,328.2748,2.443597,0
2.501041,526.8113,2,2,1,262.0802,8.396116,328.2748,2.445391,0
2.48823,527.2038,2,2,1,262.0802,8.396116,328.2748,2.445391,0
2.468693,527.1646,2,2,1,262.0802,8.396116,328.2748,2.445391,0
2.451078,527.5571,2,2,1,262.0802,8.395475,328.2748,2.445391,0
2.440188,527.8318,2,2,1,262.0802,8.395475,328.2748,2.44411,0
2.429619,527.8318,2,2,1,262.0802,8.395475,328.2748,2.44411,0
2.426737,528.3421,2,2,1,262.0802,8.395475,328.2748,2.44411,0
2.428018,528.2636,2,2,1,262.0802,8.393232,328.2748,2.443469,0
2.480863,528.2244,2,2,1,262.0802,8.393232,328.2748,2.442188,0
2.528264,528.0674,2,2,1,262.0802,8.393232,328.2748,2.442188,0
2.56958,528.0674,2,2,1,262.0802,8.393232,328.2748,2.441034,0
2.601287,528.3421,2,2,1,262.0802,8.393232,328.2748,2.440521,0
2.644525,528.4207,2,2,1,262.0802,8.391951,328.2748,2.440521,0
2.665663,528.1851,2,2,1,262.0802,8.391951,328.2748,2.440521,0
2.670788,527.8711,2,2,1,262.0802,8.391951,328.2748,2.440521,0
2.656055,528.1459,2,2,1,262.0802,8.391951,328.2748,2.440521,0
2.633315,527.4001,2,2,1,262.0802,8.391951,328.2748,2.442828,0
2.624027,527.1646,2,2,1,262.0802,8.391951,328.2748,2.442956,0
2.623387,527.4001,2,2,1,262.0802,8.391951,328.2748,2.44616,0
2.617942,527.4786,2,2,1,262.0802,8.391951,328.2748,2.44616,0
2.596163,527.2038,2,2,1,262.0802,8.391951,328.2748,2.443982,0
2.578548,527.3608,2,2,1,262.0802,8.391951,328.2748,2.443085,0
2.561573,527.1646,2,2,1,262.0802,8.391951,328.2748,2.442828,0
2.54652,526.8898,2,2,1,262.0802,8.391951,328.2748,2.441547,0
2.52282,526.772,2,2,1,262.0802,8.391951,328.2748,2.440137,0
2.503283,526.4973,2,2,1,262.0802,8.394835,328.2748,2.440137,0
2.485027,526.301,2,2,1,262.0802,8.394835,328.2748,2.440137,0
2.467092,526.0262,2,2,1,262.0802,8.394835,328.2748,2.441547,0
2.452679,526.0262,2,2,1,262.0802,8.394835,328.2748,2.441547,0
2.436345,525.83,2,2,1,262.0802,8.394835,328.2748,2.4427,0
2.428979,525.4767,2,2,1,262.0802,8.394835,328.2748,2.443469,0
2.423534,525.5944,2,2,1,262.0802,8.394835,328.2748,2.443725,0
2.423534,525.6729,2,2,1,262.0802,8.394835,328.2748,2.443725,0
2.45428,525.7907,2,2,1,262.0802,8.394835,328.2748,2.442828,0
2.45428,525.7907,2,2,1,262.0802,8.394835,328.2748,2.442828,0
2.490792,525.6729,2,2,1,262.0802,8.394835,328.2748,2.440521,0
2.535951,526.1047,2,2,1,262.0802,8.394835,328.2748,2.440521,0
2.5699,526.2617,2,2,1,262.0802,8.394835,328.2748,2.440521,0
2.611536,526.8113,2,2,1,262.0802,8.394835,328.2748,2.440521,0
2.633315,527.3608,2,2,1,262.0802,8.392912,328.2748,2.440521,0
2.652211,528.1459,2,2,1,262.0802,8.391951,328.2748,2.440265,0
2.655414,528.2636,2,2,1,262.0802,8.391951,328.2748,2.440265,0
2.642603,528.4207,2,2,1,262.0802,8.391951,328.2748,2.440265,0
2.626589,528.4207,2,2,1,262.0802,8.391951,328.2748,2.440265,0
2.619223,528.1459,2,2,1,262.0802,8.391951,328.2748,2.440265,0
2.616981,527.8318,2,2,1,262.0802,8.391951,328.2748,2.440265,0
2.598725,527.243,2,2,1,262.0802,8.391951,328.2748,2.440265,0
2.584313,526.6542,2,2,1,262.0802,8.391951,328.2748,2.440265,0
2.561573,525.9869,2,2,1,262.0802,8.391951,328.2748,2.440265,0
2.549082,525.83,2,2,1,262.0802,8.391951,328.2748,2.440265,0
2.530827,525.83,2,2,1,262.0802,8.391951,328.2748,2.441162,0
2.510009,526.0262,2,2,1,262.0802,8.391951,328.2748,2.441547,0
2.492073,526.0262,2,2,1,262.0802,8.391951,328.2748,2.441547,0
2.471255,526.1832,2,2,1,262.0802,8.391951,328.2748,2.441547,0
2.452359,526.4188,2,2,1,262.0802,8.391951,328.2748,2.4427,0
2.436345,526.2617,2,2,1,262.0802,8.391951,328.2748,2.442828,0
2.43026,526.0655,2,2,1,262.0802,8.391951,328.2748,2.444238,0
2.428338,526.2617,2,2,1,262.0802,8.391951,328.2748,2.445007,0
2.438587,525.9084,2,2,1,262.0802,8.391951,328.2748,2.445007,0
2.48791,525.4767,2,2,1,262.0802,8.391951,328.2748,2.445007,0
2.536912,524.9271,2,2,1,262.0802,8.391951,328.2748,2.444623,0
2.582711,524.9271,2,2,1,262.0802,8.391951,328.2748,2.444238,0
2.614739,525.2411,2,2,1,262.0802,8.391951,328.2748,2.441547,0
2.653813,525.8692,2,2,1,262.0802,8.39131,328.2748,2.440521,0
2.671428,526.458,2,2,1,262.0802,8.388746,328.2748,2.440521,0
2.675592,526.615,2,2,1,262.0802,8.388746,328.2748,2.440521,0
2.649329,526.9683,2,2,1,262.0802,8.388746,328.2748,2.440521,0
2.625628,527.3608,2,2,1,262.0802,8.388746,328.2748,2.440137,0
2.620824,527.6356,2,2,1,262.0802,8.39131,328.2748,2.440137,0
2.620504,528.0674,2,2,1,262.0802,8.39131,328.2748,2.440137,0
2.608334,528.2636,2,2,1,262.0802,8.39131,328.2748,2.441675,0
2.583992,528.0281,2,2,1,262.0802,8.39131,328.2748,2.442188,0
2.571182,527.8711,2,2,1,262.0802,8.39131,328.2748,2.442188,0
2.548762,527.8318,2,2,1,262.0802,8.39131,328.3004,2.442188,0
2.535631,527.6356,2,2,1,262.0802,8.39131,328.3004,2.443469,0
2.510329,527.7534,2,2,1,262.0802,8.39131,328.3004,2.443469,0
2.502642,527.7534,2,2,1,262.0802,8.39131,328.3004,2.443469,0
2.484707,528.4207,2,2,1,262.0802,8.39131,328.3004,2.443469,0
2.470614,528.5384,2,2,1,262.0802,8.39131,328.3517,2.444366,0
2.450437,528.1851,2,2,1,262.0802,8.393232,328.3517,2.444366,0
2.435384,527.6356,2,2,1,262.0802,8.393553,328.3517,2.444623,0
2.43058,527.6748,2,2,1,262.0802,8.393873,328.3517,2.444623,0
2.43058,527.8711,2,2,1,262.0802,8.393873,328.3517,2.444623,0
2.458444,527.9496,2,2,1,262.0802,8.393873,328.3517,2.444623,0
2.501681,527.5571,2,2,1,262.0802,8.393873,328.3517,2.444623,0
2.540755,527.243,2,2,1,262.0802,8.393873,328.2748,2.444623,0
2.577587,527.4393,2,2,1,262.0802,8.393873,328.121,2.444623,0
2.6157,527.7534,2,2,1,262.0802,8.393873,328.121,2.44411,0
2.637799,527.9496,2,2,1,262.0802,8.393873,328.121,2.4427,0
2.656055,527.7534,2,2,1,262.0802,8.393873,328.121,2.442316,0
2.658617,527.4393,2,2,1,262.0802,8.393873,328.121,2.442316,0
2.638119,527.4393,2,2,1,262.0802,8.393873,328.121,2.442316,0
2.624027,527.6748,2,2,1,262.0802,8.393873,328.121,2.442316,0
2.620184,527.5963,2,2,1,262.0802,8.393873,328.121,2.441803,0
2.609935,527.9496,2,2,1,262.0802,8.393873,328.121,2.439625,0
2.598085,527.8711,2,2,1,262.0802,8.393873,328.3517,2.439625,0
2.572783,527.7926,2,2,1,262.0802,8.392271,328.3773,2.441803,0
2.561573,527.8711,2,2,1,262.0802,8.392271,328.3773,2.442444,0
2.541716,528.0281,2,2,1,262.0802,8.39131,328.3773,2.442444,0
2.528264,528.5776,2,2,1,262.0802,8.39131,328.2492,2.441547,0
2.505204,529.0486,2,2,1,262.0802,8.39131,328.2492,2.439881,0
2.491432,528.7739,2,2,1,262.0802,8.39131,328.2492,2.439881,0
2.471575,528.4599,2,2,1,262.0802,8.39131,328.2492,2.439881,0
2.471575,528.4599,2,2,1,262.0802,8.39131,328.2492,2.439881,0
2.460366,528.5384,2,2,1,262.0802,8.39131,328.2492,2.439881,0
2.447555,528.3421,2,2,1,262.0802,8.39131,328.2492,2.439881,0
2.434423,528.1459,2,2,1,262.0802,8.39131,328.2492,2.439881,0
2.428338,528.0674,2,2,1,262.0802,8.39131,328.2492,2.439881,0
2.428338,528.2244,2,2,1,262.0802,8.39131,328.2492,2.439881,0
2.447555,528.0674,2,2,1,262.0802,8.39131,328.2492,2.440521,0
2.5004,528.6561,2,2,1,262.0802,8.39131,328.2492,2.440521,0
2.544919,528.6561,2,2,1,262.0802,8.39131,328.2492,2.441547,0
2.588476,528.9309,2,2,1,262.1443,8.39131,328.2492,2.442828,0
2.619223,529.0486,2,2,1,262.1764,8.39131,328.2492,2.442828,0
2.656055,529.2449,2,2,1,262.1764,8.394514,328.2492,2.440137,0
2.670467,529.1664,2,2,1,262.1764,8.394514,328.2492,2.440137,0
2.671428,529.2057,2,2,1,262.1764,8.394514,328.2492,2.440137,0
2.644845,529.4412,2,2,1,262.1764,8.394514,328.2492,2.441803,0
2.625308,529.2449,2,2,1,262.1764,8.394514,328.2492,2.44206,0
2.621145,529.1272,2,2,1,262.1764,8.394514,328.2492,2.44206,0
2.616981,528.7347,2,2,1,262.1764,8.394514,328.2492,2.439496,0
2.602569,528.6169,2,2,1,262.1764,8.394514,328.0441,2.439496,0
2.58079,528.2636,2,2,1,262.1764,8.394514,328.0441,2.439496,0
2.5699,528.2244,2,2,1,262.1764,8.394514,328.0441,2.439496,0
2.549082,528.3421,2,2,1,262.1764,8.394514,328.0441,2.439496,0
2.535311,528.2636,2,2,1,262.1764,8.394514,328.0441,2.440521,0
2.518336,528.2244,2,2,1,262.1764,8.394514,328.0441,2.440521,0
2.503923,528.3421,2,2,1,262.1764,8.394514,328.0441,2.441803,0
2.484386,528.7347,2,2,1,262.1764,8.394514,328.0954,2.442188,0
2.472857,528.4599,2,2,1,262.1764,8.394514,328.2492,2.442188,0
2.457163,528.3421,2,2,1,262.1764,8.394514,328.2492,2.442188,0
2.445633,528.5384,2,2,1,262.1764,8.39163,328.2492,2.442188,0
2.431541,528.7347,2,2,1,262.1764,8.39163,328.2492,2.440137,0
2.423534,528.8132,2,2,1,262.1764,8.39163,328.2492,2.440137,0
2.423534,528.8524,2,2,1,262.1764,8.39163,328.2492,2.440137,0
2.439868,528.8132,2,2,1,262.1764,8.39163,328.2492,2.440137,0
2.479582,528.7739,2,2,1,262.1764,8.39163,328.2492,2.440137,0
2.520257,528.9702,2,2,1,262.0802,8.39163,328.2492,2.440137,0
2.561573,529.1272,2,2,1,262.0482,8.39163,328.1723,2.440137,0
2.595522,529.1272,2,2,1,262.0482,8.394514,328.0954,2.440137,0
2.625949,529.1664,2,2,1,262.0482,8.396437,328.0441,2.440137,0
2.647727,528.9702,2,2,1,262.0482,8.396437,328.0441,2.440137,0
2.654453,528.6169,2,2,1,262.0482,8.396437,328.0441,2.440137,0
2.647727,528.2244,2,2,1,262.0482,8.393873,328.0441,2.440137,0
2.63844,527.7534,2,2,1,262.0482,8.393873,328.0441,2.440137,0
2.620824,527.2823,2,2,1,262.0482,8.393553,328.1723,2.440137,0
2.617301,527.0075,2,2,1,262.0482,8.393553,328.1723,2.440137,0
2.60481,527.243,2,2,1,262.0482,8.393553,328.1723,2.440137,0
2.585914,527.3608,2,2,1,262.0482,8.390669,328.1723,2.440137,0
2.566377,527.7926,2,2,1,262.0482,8.390669,328.1723,2.440137,0
2.553886,528.1851,2,2,1,262.0482,8.390669,328.1723,2.440137,0
2.536271,528.6169,2,2,1,262.0482,8.390669,328.1723,2.440137,0
2.518015,529.0486,2,2,1,262.0482,8.391951,328.1723,2.440137,0
2.494635,529.559,2,2,1,262.0482,8.393553,328.1723,2.442316,0
2.483105,530.1085,2,2,1,262.0482,8.393553,328.1723,2.442956,0
2.464209,530.7758,2,2,1,262.0482,8.393553,328.1723,2.442956,0
2.45428,530.9328,2,2,1,262.0482,8.393553,328.1723,2.442956,0
2.435064,531.3253,2,2,1,262.0482,8.393553,328.1723,2.441803,0
2.424174,531.8749,2,2,1,262.0482,8.393553,328.1723,2.441803,0
2.422253,532.1497,2,2,1,262.0482,8.393553,328.1723,2.440393,0
2.422253,532.3851,2,2,1,262.0482,8.394835,328.1723,2.440393,0
2.456202,532.5029,2,2,1,262.0482,8.394835,328.1723,2.440393,0
2.505204,532.4637,2,2,1,262.0482,8.394835,328.1723,2.440137,0
2.54652,532.6992,2,2,1,262.0482,8.394835,328.1723,2.439112,0
2.577907,532.2674,2,2,1,262.0482,8.394835,328.1723,2.439112,0
2.621785,531.9141,2,2,1,262.0482,8.394835,328.1723,2.439112,0
2.651251,531.7571,2,2,1,262.0482,8.394835,328.1723,2.43924,0
2.670788,531.4824,2,2,1,262.0482,8.394835,328.1723,2.439753,0
2.670788,531.0113,2,2,1,262.0482,8.393553,328.1723,2.441419,0
2.645165,530.9328,2,2,1,262.0482,8.393232,328.1723,2.441419,0
2.632995,530.344,2,2,1,262.0482,8.393232,328.1723,2.441419,0
2.626589,529.8337,2,2,1,262.0482,8.393232,328.1723,2.441419,0
2.626589,529.6375,2,2,1,262.0482,8.391951,328.3004,2.440521,0
2.6157,529.3234,2,2,1,262.0482,8.391951,328.3004,2.440521,0
2.592,529.4412,2,2,1,262.0482,8.391951,328.3004,2.440521,0
2.577907,529.2057,2,2,1,262.0482,8.391951,328.3004,2.439496,0
2.577907,529.2057,2,2,1,262.0482,8.391951,328.3004,2.439496,0
2.562534,528.9309,2,2,1,262.0482,8.391951,328.3004,2.439496,0
2.547161,528.7739,2,2,1,262.0482,8.391951,328.0954,2.439496,0
2.526022,528.4599,2,2,1,262.0482,8.394835,328.0954,2.439496,0
2.505204,527.9496,2,2,1,262.0482,8.394835,328.0954,2.439625,0
2.489831,528.0674,2,2,1,262.0482,8.394835,328.0954,2.439753,0
2.474458,527.9888,2,2,1,262.0482,8.394835,328.0954,2.439753,0
2.456843,528.0674,2,2,1,262.0482,8.394835,328.0954,2.440265,0
2.449797,527.8318,2,2,1,262.1443,8.394835,328.0954,2.440265,0
2.426416,528.2244,2,2,1,262.2404,8.394835,328.0954,2.440265,0
2.423854,528.3421,2,2,1,262.2404,8.394835,328.0954,2.440265,0
2.421612,528.2244,2,2,1,262.2404,8.392271,328.0954,2.440265,0
2.423534,528.3421,2,2,1,262.2404,8.391951,328.0954,2.440265,0
2.474458,528.5384,2,2,1,262.2404,8.391951,328.0954,2.440265,0
